Pipeline,Percentage,CompareTo
A,0,A
A,7,A→B 
A,5,A→P* 
A,6,A→P 
A,15,B
A,7,B→P* 
A,8,B→P 
A,11,P*
A,5,P*→A 
A,10,P*→B 
A,14,P
A,4,P→A 
A,12,P→B 
A,45,S
A,22,S→A 
A,13,S→B 
A,40,S*
A,20,S*→A 
A,14,S*→B 
A,14,S*→P* 
A,14,S*→P 
A,14,S→P* 
A,13,S→P 
A→B ,30,A
A→B ,0,A→B 
A→B ,13,A→P* 
A→B ,17,A→P 
A→B ,30,B
A→B ,11,B→P* 
A→B ,14,B→P 
A→B ,24,P*
A→B ,16,P*→A 
A→B ,9,P*→B 
A→B ,28,P
A→B ,20,P→A 
A→B ,11,P→B 
A→B ,64,S
A→B ,34,S→A 
A→B ,18,S→B 
A→B ,57,S*
A→B ,29,S*→A 
A→B ,18,S*→B 
A→B ,24,S*→P* 
A→B ,24,S*→P 
A→B ,21,S→P* 
A→B ,25,S→P 
A→P* ,30,A
A→P* ,16,A→B 
A→P* ,0,A→P* 
A→P* ,9,A→P 
A→P* ,28,B
A→P* ,9,B→P* 
A→P* ,10,B→P 
A→P* ,13,P*
A→P* ,10,P*→A 
A→P* ,11,P*→B 
A→P* ,21,P
A→P* ,16,P→A 
A→P* ,14,P→B 
A→P* ,61,S
A→P* ,31,S→A 
A→P* ,20,S→B 
A→P* ,57,S*
A→P* ,30,S*→A 
A→P* ,21,S*→B 
A→P* ,14,S*→P* 
A→P* ,14,S*→P 
A→P* ,15,S→P* 
A→P* ,14,S→P 
A→P ,28,A
A→P ,16,A→B 
A→P ,6,A→P* 
A→P ,0,A→P 
A→P ,26,B
A→P ,9,B→P* 
A→P ,10,B→P 
A→P ,12,P*
A→P ,11,P*→A 
A→P ,10,P*→B 
A→P ,20,P
A→P ,16,P→A 
A→P ,13,P→B 
A→P ,61,S
A→P ,31,S→A 
A→P ,21,S→B 
A→P ,56,S*
A→P ,28,S*→A 
A→P ,21,S*→B 
A→P ,15,S*→P* 
A→P ,14,S*→P 
A→P ,11,S→P* 
A→P ,13,S→P 
B,28,A
B,12,A→B 
B,11,A→P* 
B,11,A→P 
B,0,B
B,9,B→P* 
B,7,B→P 
B,16,P*
B,13,P*→A 
B,8,P*→B 
B,16,P
B,18,P→A 
B,8,P→B 
B,56,S
B,33,S→A 
B,14,S→B 
B,48,S*
B,29,S*→A 
B,14,S*→B 
B,22,S*→P* 
B,17,S*→P 
B,16,S→P* 
B,18,S→P 
B→P* ,36,A
B→P* ,24,A→B 
B→P* ,20,A→P* 
B→P* ,23,A→P 
B→P* ,32,B
B→P* ,0,B→P* 
B→P* ,4,B→P 
B→P* ,24,P*
B→P* ,16,P*→A 
B→P* ,14,P*→B 
B→P* ,30,P
B→P* ,25,P→A 
B→P* ,17,P→B 
B→P* ,66,S
B→P* ,35,S→A 
B→P* ,26,S→B 
B→P* ,63,S*
B→P* ,33,S*→A 
B→P* ,24,S*→B 
B→P* ,23,S*→P* 
B→P* ,21,S*→P 
B→P* ,20,S→P* 
B→P* ,21,S→P 
B→P ,35,A
B→P ,24,A→B 
B→P ,20,A→P* 
B→P ,24,A→P 
B→P ,30,B
B→P ,5,B→P* 
B→P ,0,B→P 
B→P ,21,P*
B→P ,17,P*→A 
B→P ,14,P*→B 
B→P ,29,P
B→P ,24,P→A 
B→P ,18,P→B 
B→P ,64,S
B→P ,37,S→A 
B→P ,26,S→B 
B→P ,62,S*
B→P ,34,S*→A 
B→P ,24,S*→B 
B→P ,22,S*→P* 
B→P ,22,S*→P 
B→P ,22,S→P* 
B→P ,23,S→P 
P*,28,A
P*,18,A→B 
P*,14,A→P* 
P*,14,A→P 
P*,26,B
P*,9,B→P* 
P*,9,B→P 
P*,0,P*
P*,13,P*→A 
P*,9,P*→B 
P*,14,P
P*,17,P→A 
P*,13,P→B 
P*,61,S
P*,30,S→A 
P*,24,S→B 
P*,55,S*
P*,27,S*→A 
P*,22,S*→B 
P*,10,S*→P* 
P*,6,S*→P 
P*,9,S→P* 
P*,9,S→P 
P*→A ,26,A
P*→A ,20,A→B 
P*→A ,14,A→P* 
P*→A ,18,A→P 
P*→A ,28,B
P*→A ,13,B→P* 
P*→A ,12,B→P 
P*→A ,19,P*
P*→A ,0,P*→A 
P*→A ,10,P*→B 
P*→A ,22,P
P*→A ,12,P→A 
P*→A ,15,P→B 
P*→A ,59,S
P*→A ,30,S→A 
P*→A ,24,S→B 
P*→A ,57,S*
P*→A ,28,S*→A 
P*→A ,23,S*→B 
P*→A ,19,S*→P* 
P*→A ,20,S*→P 
P*→A ,14,S→P* 
P*→A ,16,S→P 
P*→B ,33,A
P*→B ,19,A→B 
P*→B ,23,A→P* 
P*→B ,25,A→P 
P*→B ,35,B
P*→B ,18,B→P* 
P*→B ,21,B→P 
P*→B ,30,P*
P*→B ,22,P*→A 
P*→B ,0,P*→B 
P*→B ,30,P
P*→B ,29,P→A 
P*→B ,16,P→B 
P*→B ,70,S
P*→B ,40,S→A 
P*→B ,24,S→B 
P*→B ,63,S*
P*→B ,34,S*→A 
P*→B ,24,S*→B 
P*→B ,30,S*→P* 
P*→B ,30,S*→P 
P*→B ,28,S→P* 
P*→B ,32,S→P 
P,28,A
P,16,A→B 
P,11,A→P* 
P,15,A→P 
P,23,B
P,8,B→P* 
P,7,B→P 
P,7,P*
P,14,P*→A 
P,9,P*→B 
P,0,P
P,15,P→A 
P,13,P→B 
P,57,S
P,32,S→A 
P,21,S→B 
P,51,S*
P,26,S*→A 
P,20,S*→B 
P,11,S*→P* 
P,9,S*→P 
P,7,S→P* 
P,7,S→P 
P→A ,26,A
P→A ,18,A→B 
P→A ,12,A→P* 
P→A ,13,A→P 
P→A ,26,B
P→A ,10,B→P* 
P→A ,11,B→P 
P→A ,15,P*
P→A ,7,P*→A 
P→A ,11,P*→B 
P→A ,16,P
P→A ,0,P→A 
P→A ,13,P→B 
P→A ,58,S
P→A ,30,S→A 
P→A ,21,S→B 
P→A ,54,S*
P→A ,26,S*→A 
P→A ,20,S*→B 
P→A ,16,S*→P* 
P→A ,13,S*→P 
P→A ,11,S→P* 
P→A ,18,S→P 
P→B ,35,A
P→B ,19,A→B 
P→B ,20,A→P* 
P→B ,20,A→P 
P→B ,34,B
P→B ,17,B→P* 
P→B ,18,B→P 
P→B ,26,P*
P→B ,20,P*→A 
P→B ,11,P*→B 
P→B ,32,P
P→B ,25,P→A 
P→B ,0,P→B 
P→B ,65,S
P→B ,39,S→A 
P→B ,24,S→B 
P→B ,63,S*
P→B ,36,S*→A 
P→B ,24,S*→B 
P→B ,28,S*→P* 
P→B ,27,S*→P 
P→B ,25,S→P* 
P→B ,27,S→P 
S,17,A
S,10,A→B 
S,7,A→P* 
S,6,A→P 
S,11,B
S,5,B→P* 
S,5,B→P 
S,7,P*
S,3,P*→A 
S,5,P*→B 
S,7,P
S,7,P→A 
S,6,P→B 
S,0,S
S,24,S→A 
S,7,S→B 
S,9,S*
S,17,S*→A 
S,3,S*→B 
S,7,S*→P* 
S,7,S*→P 
S,6,S→P* 
S,5,S→P 
S→A ,9,A
S→A ,11,A→B 
S→A ,6,A→P* 
S→A ,7,A→P 
S→A ,16,B
S→A ,8,B→P* 
S→A ,9,B→P 
S→A ,11,P*
S→A ,1,P*→A 
S→A ,8,P*→B 
S→A ,15,P
S→A ,5,P→A 
S→A ,10,P→B 
S→A ,38,S
S→A ,0,S→A 
S→A ,9,S→B 
S→A ,35,S*
S→A ,7,S*→A 
S→A ,7,S*→B 
S→A ,13,S*→P* 
S→A ,11,S*→P 
S→A ,9,S→P* 
S→A ,9,S→P 
S→B ,36,A
S→B ,15,A→B 
S→B ,18,A→P* 
S→B ,18,A→P 
S→B ,26,B
S→B ,12,B→P* 
S→B ,11,B→P 
S→B ,22,P*
S→B ,18,P*→A 
S→B ,12,P*→B 
S→B ,28,P
S→B ,24,P→A 
S→B ,11,P→B 
S→B ,70,S
S→B ,38,S→A 
S→B ,0,S→B 
S→B ,59,S*
S→B ,38,S*→A 
S→B ,18,S*→B 
S→B ,28,S*→P* 
S→B ,24,S*→P 
S→B ,24,S→P* 
S→B ,24,S→P 
S*,21,A
S*,13,A→B 
S*,7,A→P* 
S*,6,A→P 
S*,17,B
S*,5,B→P* 
S*,5,B→P 
S*,5,P*
S*,6,P*→A 
S*,5,P*→B 
S*,10,P
S*,7,P→A 
S*,7,P→B 
S*,32,S
S*,27,S→A 
S*,11,S→B 
S*,0,S*
S*,20,S*→A 
S*,9,S*→B 
S*,5,S*→P* 
S*,6,S*→P 
S*,5,S→P* 
S*,5,S→P 
S*→A ,12,A
S*→A ,12,A→B 
S*→A ,7,A→P* 
S*→A ,9,A→P 
S*→A ,20,B
S*→A ,8,B→P* 
S*→A ,9,B→P 
S*→A ,12,P*
S*→A ,2,P*→A 
S*→A ,9,P*→B 
S*→A ,16,P
S*→A ,3,P→A 
S*→A ,11,P→B 
S*→A ,47,S
S*→A ,16,S→A 
S*→A ,11,S→B 
S*→A ,40,S*
S*→A ,0,S*→A 
S*→A ,9,S*→B 
S*→A ,14,S*→P* 
S*→A ,13,S*→P 
S*→A ,11,S→P* 
S*→A ,10,S→P 
S*→B ,31,A
S*→B ,14,A→B 
S*→B ,16,A→P* 
S*→B ,17,A→P 
S*→B ,28,B
S*→B ,11,B→P* 
S*→B ,12,B→P 
S*→B ,19,P*
S*→B ,12,P*→A 
S*→B ,9,P*→B 
S*→B ,23,P
S*→B ,20,P→A 
S*→B ,11,P→B 
S*→B ,65,S
S*→B ,35,S→A 
S*→B ,12,S→B 
S*→B ,60,S*
S*→B ,30,S*→A 
S*→B ,0,S*→B 
S*→B ,22,S*→P* 
S*→B ,20,S*→P 
S*→B ,22,S→P* 
S*→B ,20,S→P 
S*→P* ,28,A
S*→P* ,19,A→B 
S*→P* ,12,A→P* 
S*→P* ,14,A→P 
S*→P* ,28,B
S*→P* ,8,B→P* 
S*→P* ,9,B→P 
S*→P* ,9,P*
S*→P* ,12,P*→A 
S*→P* ,10,P*→B 
S*→P* ,18,P
S*→P* ,17,P→A 
S*→P* ,14,P→B 
S*→P* ,61,S
S*→P* ,30,S→A 
S*→P* ,21,S→B 
S*→P* ,53,S*
S*→P* ,24,S*→A 
S*→P* ,22,S*→B 
S*→P* ,0,S*→P* 
S*→P* ,5,S*→P 
S*→P* ,5,S→P* 
S*→P* ,7,S→P 
S*→P ,30,A
S*→P ,19,A→B 
S*→P ,14,A→P* 
S*→P ,14,A→P 
S*→P ,32,B
S*→P ,7,B→P* 
S*→P ,9,B→P 
S*→P ,10,P*
S*→P ,12,P*→A 
S*→P ,11,P*→B 
S*→P ,17,P
S*→P ,16,P→A 
S*→P ,14,P→B 
S*→P ,63,S
S*→P ,33,S→A 
S*→P ,24,S→B 
S*→P ,52,S*
S*→P ,27,S*→A 
S*→P ,20,S*→B 
S*→P ,7,S*→P* 
S*→P ,0,S*→P 
S*→P ,3,S→P* 
S*→P ,7,S→P 
S→P* ,30,A
S→P* ,21,A→B 
S→P* ,14,A→P* 
S→P* ,16,A→P 
S→P* ,30,B
S→P* ,9,B→P* 
S→P* ,10,B→P 
S→P* ,13,P*
S→P* ,15,P*→A 
S→P* ,11,P*→B 
S→P* ,16,P
S→P* ,18,P→A 
S→P* ,14,P→B 
S→P* ,60,S
S→P* ,29,S→A 
S→P* ,24,S→B 
S→P* ,53,S*
S→P* ,26,S*→A 
S→P* ,23,S*→B 
S→P* ,11,S*→P* 
S→P* ,10,S*→P 
S→P* ,0,S→P* 
S→P* ,11,S→P 
S→P ,28,A
S→P ,18,A→B 
S→P ,13,A→P* 
S→P ,13,A→P 
S→P ,28,B
S→P ,9,B→P* 
S→P ,8,B→P 
S→P ,9,P*
S→P ,12,P*→A 
S→P ,10,P*→B 
S→P ,15,P
S→P ,18,P→A 
S→P ,14,P→B 
S→P ,59,S
S→P ,30,S→A 
S→P ,22,S→B 
S→P ,55,S*
S→P ,25,S*→A 
S→P ,21,S*→B 
S→P ,9,S*→P* 
S→P ,5,S*→P 
S→P ,5,S→P* 
S→P ,0,S→P 